MusteriNo;AdSoyad;Yas;Cinsiyet;Sehir;DogumYeri;ToplamHarcama;SiparisSayisi;SonAlimTarihi;Aktif
10213;pınar kaya;60;NaN;Adana;Antalya;14.858,29;17;09/12/2023;false
10424;Seda Uçar;77;E;Trabzon;Trabzon;10.962,68;46;09.12.2024;H
10265;mustafa yıldız;73;Erkek;İSTANBUL;Denizli;4622.16;8;18.03.2024;1
10312;HÜSEYIN DEMIR;5;K;kocaeli;İzmir;24706.60;40;25/07/2023;true
10462;CAN ÖZDEMIR;80;erkek;Ankara;Trabzon;16.298,18;yok;28.12.2023;H
10090;PINAR ŞAHIN;77;kadin;gaziantep;Trabzon;16.646,60;22;yok;H
10355;Serkan Uçar;67;Kadın;Kayseri;Konya;5863.95;44;26.05.2024;true
10229;Zeynep Yılmaz;21;null;Eskişehir;Kocaeli;8.053,69;n/a;2023-06-20;H
10445;ECE KOÇ;30;erkek;Malatya;Malatya;8530.77;2;04/05/2025;true
10410;Hakan Çelik;yok;K;ANTALYA;Ankara;5.855,49;53;2023-01-21;1
10254;mustafa yılmaz;24;null;İzmir;Denizli;21.693,62;22;2024-11-17;0
10284;elif özdemir;73;erkek;Konya;Samsun;8.718,99;31;19/03/2025;H
10026;SELIN UÇAR;-;kadin;İstanbul;Kocaeli;17624.37;54;12.01.2024;E
10315;Barış Ateş;76;E;Antalya;İstanbul;19852.13;56;13.12.2024;E
10234;Selin Özdemir;72;NaN;Konya;İzmir;2.201,62;60;09.08.2023;false
10269;KEMAL ŞAHIN;70;null;GAZIANTEP;İzmir;1122.14;3;28/11/2024;1
10196;DERYA AKSOY;47;K;BURSA;Kocaeli;5.023,81;11;04.09.2023;true
10478;AHMET DEMIR;3;erkek;Bursa;Kocaeli;6.926,98;41;29/04/2025;evet
10253;kemal kaya;55;Erkek;Kayseri;yok;4936.64;31;23/12/2024;0
10397;KEMAL DEMIR;67;E;İzmir;Gaziantep;10017.70;55;05.09.2023;hayır
10395;EMINE YILDIZ; ;Erkek;Eskişehir;bilinmiyor;5.912,99;null;2023-10-06;false
10408;  Ece Şahin ;48;Kadın;Konya;Denizli;3083.46;54;2024-12-24;evet
10296;CAN ARSLAN;49;erkek;Adana;Bursa;8.801,01;8;-;E
10064;Deniz Özdemir;9;E;Antalya;Kocaeli;2768.94;1;08/09/2024;1
10427;ONUR AYDIN;78;erkek;Konya;Eskişehir;4.561,71;48;2024-03-20;false
10148;MUSTAFA ARSLAN;67;E;kayseri;Denizli;5053.74;48;25.08.2023;0
10029;MUSTAFA YILDIZ;47;K;Kayseri;null;10.810,82;8;11.05.2025;1
10242;Fatma Uçar;n/a;E;İzmir;Kocaeli;16608.63;54;13.01.2024;1
10281;MEHMET ÇELIK;29;Kadın;ADANA;Eskişehir;14.176,72;50;11/01/2025;true
10470;Emre Uçar;62;K;Gaziantep;-;20167.18;59;2024-10-14;H
10425;Pınar Yıldız;44;erkek;BURSA;Ankara;6.846,46;bilinmiyor;2023-12-21;E
10389;Selin Ateş;14;erkek;Bursa;n/a;13.361,22;22;2024-08-28;1
10142;FATMA KURT;12;erkek;adana;Kayseri;24.168,34;NaN;NaN;0
10486;  Derya Arslan ;31;Kadın;Samsun;bilinmiyor;3.579,39;32;04.02.2025;E
10280;Can Aydın;68;Erkek;i̇zmir;Trabzon;2792.35;58;;true
10089;Gizem Arslan;82;kadin;Ankara;bilinmiyor;1.582,25;32;14/04/2023;0
10339;GIZEM YILDIZ;46;kadin;GAZIANTEP;İzmir;24.307,62;15;2024-08-17;E
10205;Hüseyin Tan;NaN;Kadın;Gaziantep;null;19586.03;42;11/07/2023;true
10382;seda demir;70;K;İSTANBUL;İzmir;8654.53;41;23.12.2023;false
10162;VOLKAN TAŞ;4;K;Samsun;Bursa;13.702,11;;02.04.2023;false
10015;Fatma Gül;74;erkek;Antalya;Samsun;2.581,32;28;2024-12-01;E
10392;Hakan Demir;N/A;erkek;Bursa;Konya;4482.27;17;15/03/2023;E
10128;emre koç; ;E;ESKIŞEHIR;Eskişehir;18.399,12;9;08.05.2024;hayır
10303;VOLKAN KAYA;46;kadin;Samsun;Kayseri;18.362,92;31;2024-05-08;false
