SiparisNo;MusteriAdi;Sehir;SiparisTarihi;Tutar;KargoFirmasi;KargoUcreti;Durum;UrunAdedi;OdemeTipi
SIP2026404;CAN ÇELIK;trabzon;03/03/2026;444.95;UPS;25,97;Hazırlanıyor;6;bilinmiyor
SIP2026439;Seda Gül;Antalya;01.11.2025;?;Sürat;82,85;Teslim Edildi;NaN;Havale
SIP2026081;Selin Öztürk;eskişehir;2026-12-26;9.828,98;Aras;91.47;İptal;16;Kapıda Kart
SIP2026185;  Merve Ateş ;Adana;16/05/2026;13.235,43;Yurtiçi;200,15;Kargoda;19;Kapıda Nakit
SIP2026240;BURAK DOĞAN;KAYSERI;2025-09-30;13595.96;UPS;94.96;Kargoda;25;Kapıda Nakit
SIP2026390;Elif Uçar;Kocaeli;30.04.2025;12.523,29;Yurtiçi;46,16;Hazırlanıyor;7;Kapıda Nakit
SIP2026125;gizem şahin;Bursa;2025-12-05;5.238,12;Yurtiçi;77.54;hazirlaniyor;19;Kredi Kartı
SIP2026263;Onur Taş;samsun;06/03/2025;3871.80;Yurtiçi;235,45;Teslim Edildi;14;Kredi Kartı
SIP2026047;Mustafa Özdemir;ADANA;29.03.2026;5.481,05;Aras;217.85;hazirlaniyor;21;Kapıda Nakit
SIP2026388;Hüseyin Kaya;İstanbul;13.12.2026;13.507,97;UPS;48.11;Kargoda;6;Havale
SIP2026294;Ece Bal;Gaziantep;12/06/2026;12270.94;yok;3.47;Kargoda;22;bilinmiyor
SIP2026251;Hüseyin Aksoy;Antalya;2025-10-02;112,57;yok;135,21;İade;15;Havale
SIP2026274;Seda Aksoy;İSTANBUL;25/02/2025;5347.15;Aras;114,69;KARGODA;N/A;Kapıda Kart
SIP2026192;Hakan Çelik;antalya;2026-07-30;6975.70;Aras;155,42;KARGODA;22;Kapıda Nakit
SIP2026463;Okan Arslan;Antalya;28/09/2025;abc;MNG;155.06;İptal;n/a;Kredi Kartı
SIP2026347;seda çelik;adana;05/04/2027;8225.60;MNG;168,44;İade;25;Kredi Kartı
SIP2026370;can şahin;Eskişehir;29/01/2025;14.201,44;Sürat;70,31;hazirlaniyor;12;Kredi Kartı
SIP2026023;Serkan Aydın;Kayseri;27.11.2026;690,00;MNG;236.99;Teslim Edildi;7;Kapıda Nakit
SIP2026460;  Volkan Aydın ;Konya;07/08/2025;8272.15;UPS;56,79;İptal;12;Kredi Kartı
SIP2026122;HÜSEYIN ÖZTÜRK;KOCAELI;13/03/2026;1950.85;Yurtiçi;248,70;Kargoda;15;Havale
SIP2026061;Gizem Aydın;Kocaeli;2025-05-12;4.792,14;Sürat;240,61;KARGODA;24;Kapıda Kart
SIP2026469;Mehmet Ateş;i̇stanbul;21/06/2026;2.750,90;MNG;10,22;hazirlaniyor;11;Kapıda Kart
SIP2026455;ONUR ATEŞ;kayseri;N/A;8.234,01;Aras;188.37;Hazırlanıyor;15;Kapıda Nakit
SIP2026331;derya kurt;İstanbul;17.04.2026;3854.06;Yurtiçi;134,78;KARGODA;4;Havale
SIP2026339;Fatma Taş;kocaeli;08.02.2027;12.744,49;Aras;227.38;İptal;25;Havale
SIP2026256;Okan Aydın;  Kocaeli ;13.09.2026;6.021,74;Sürat;17.36;Kargoda;9;-
SIP2026453;Burak Tan;bursa;2025-12-20;10225.02;UPS;112,31;hazirlaniyor;18;Havale
SIP2026361;Seda Uçar;kocaeli;2027-02-11;13001.23;UPS;191,25;hazirlaniyor;7;Kredi Kartı
SIP2026492;Mehmet Gül;GAZIANTEP;05.08.2026;8.323,00;UPS;51.60;Hazırlanıyor;12;Kapıda Nakit
