MusteriNo;Ad;Yas;DogumYeri;Sehir;ToplamHarcama;SonAlimTarihi;Aktif
1001;  ahmet yılmaz ;34;Ankara;ANKARA;1.250,50;2025-11-03;evet
1002;AYŞE DEMİR;;İzmir;izmir;3.400,00;2025-10-21;E
1003;mehmet KAYA;67;;Bursa;890,25;2025-12-01;evet
1004;Fatma Şahin;52;Trabzon;TRABZON;12.750,00;01.12.2025;evet
1005;ali veli;3;Adana;adana;0;;hayır
1006;;45;N/A;Ankara;2.100,75;2025-09-14;evet
1007;Zeynep Arslan;71;Konya;KONYA;5.600,00;2025-11-28;E
1008;mustafa öz;28;Eskişehir;eskisehir;abc;2025-10-05;evet
1009;Hüseyin Çelik;4;-;İstanbul;450,00;2025-12-10;h
1010;  elif KOÇ;58;Samsun;SAMSUN;8.900,50;2025-11-15;evet
1011;Ahmet Yılmaz;34;Ankara;ANKARA;1.250,50;2025-11-03;evet
1012;Burak Tan;19;null;Antalya;3.200,00;2025-12-02;evet
1013;seda AKIN;63;Malatya;MALATYA;7.150,25;2025-08-30;E
1014;Okan Demirtaş;2;Kayseri;kayseri;120,00;2025-12-12;hayır
1015;NURAY ÖZTÜRK;55;Denizli;DENİZLİ;4.780,00;2025-11-19;evet
